time_s,setpoint,true_speed,raw_measurement,filtered_measurement,control_output,error,jitter_ms,sensor_delay_ms,overrun
1.491395,40.000000,33.379780,33.583564,26.386362,45.999046,13.613638,0.079493,21,0
1.502429,40.000000,33.611416,31.813273,27.625783,41.487034,12.374217,1.112962,4,0
1.512113,40.000000,33.886555,32.967293,28.207985,43.241303,11.792015,0.797330,6,0
1.521916,40.000000,34.212497,32.967293,28.207985,45.294500,11.792015,0.600151,6,0
1.531652,40.000000,34.537885,32.967293,28.207985,45.601092,11.792015,0.336449,6,0
1.541574,40.000000,34.710564,35.650129,29.564587,40.581663,10.435413,0.257705,7,0
1.552257,40.000000,35.002342,35.650129,29.564587,44.922791,10.435413,0.940597,7,0
1.562049,40.000000,35.221491,35.457262,30.206863,42.672536,9.793137,0.733320,20,0
1.571769,40.000000,35.496705,35.457262,30.206863,44.853986,9.793137,0.452640,20,0
1.581496,40.000000,35.674693,38.110990,31.068379,41.726297,8.931621,0.179605,16,0
1.592240,40.000000,35.928075,38.110990,31.068379,44.543066,8.931621,0.924278,16,0
1.602116,40.000000,36.129372,35.279094,31.527329,42.973452,8.472671,0.799950,16,0
1.611771,40.000000,36.370550,35.279094,31.527329,44.570590,8.472671,0.455407,16,0
1.621527,40.000000,36.611130,35.279094,31.527329,44.790880,8.472671,0.211369,16,0
1.631420,40.000000,36.794010,36.199397,32.036564,43.011912,7.963436,0.103754,29,0
1.642356,40.000000,37.021229,36.199397,32.036564,44.746667,7.963436,1.040320,29,0
1.652350,40.000000,37.180573,37.540994,32.636523,42.598277,7.363477,1.033915,27,0
1.662172,40.000000,37.317586,38.744219,33.302236,41.976018,6.697764,0.855695,5,0
1.671921,40.000000,37.431854,39.916379,34.023149,41.316992,5.976851,0.605073,10,0
1.681665,40.000000,37.609091,39.916379,34.023149,43.635129,5.976851,0.348760,10,0
1.692381,40.000000,37.785703,39.916379,34.023149,43.790527,5.976851,1.064904,10,0
1.702130,40.000000,37.936912,36.051411,34.244220,43.077998,5.755780,0.814138,26,0
1.711844,40.000000,38.107025,36.051411,34.244220,43.890863,5.755780,0.527647,26,0
1.721515,40.000000,38.276553,36.051411,34.244220,44.040514,5.755780,0.199212,26,0
1.732362,40.000000,38.390088,38.777538,34.738333,42.250280,5.261667,1.046303,27,0
1.742143,40.000000,38.546640,38.777538,34.738333,43.869419,5.261667,0.827212,27,0
1.751958,40.000000,38.647596,39.239537,35.228944,42.080081,4.771056,0.641655,27,0
1.761686,40.000000,38.791263,39.239537,35.228944,43.675964,4.771056,0.369909,27,0
1.771368,40.000000,38.885283,39.243840,35.666551,42.081969,4.333449,0.051895,19,0
1.782188,40.000000,39.017346,39.243840,35.666551,43.507457,4.333449,0.872019,19,0
1.791833,40.000000,39.045755,39.603491,36.585666,40.011679,3.414334,0.516782,0,0
1.801487,40.000000,39.154671,39.603491,36.585666,42.857799,3.414334,0.170943,0,0
1.812436,40.000000,39.263011,39.603491,36.585666,42.946571,3.414334,1.120255,0,0
1.822153,40.000000,39.320181,39.612677,37.036860,41.263958,2.963140,0.837240,0,0
1.831844,40.000000,39.416592,39.612677,37.036860,42.694580,2.963140,0.527713,0,0
1.841656,40.000000,39.513110,36.982882,37.030977,42.794720,2.969023,0.339904,15,0
1.852437,40.000000,39.608571,36.982882,37.030977,42.854265,2.969023,1.121207,15,0
1.862142,40.000000,39.653819,40.921679,37.473983,41.192217,2.526017,0.826129,5,0
1.871830,40.000000,39.737621,40.921679,37.473983,42.586912,2.526017,0.513510,5,0
1.881548,40.000000,39.820906,40.921679,37.473983,42.652588,2.526017,0.232026,5,0
1.892401,40.000000,39.893435,37.560050,37.565384,42.359423,2.434616,1.084524,5,0
1.902119,40.000000,39.973535,37.560050,37.565384,42.696927,2.434616,0.803202,5,0
1.911916,40.000000,40.053155,37.560050,37.565384,42.760227,2.434616,0.599589,5,0
1.921638,40.000000,40.078335,41.979907,38.046548,40.934478,1.953452,0.321696,23,0
1.931397,40.000000,40.145490,41.979907,38.046548,42.428759,1.953452,0.080993,23,0
1.942217,40.000000,40.176422,40.971052,38.365306,41.228104,1.634694,0.900880,22,0
1.951990,40.000000,40.235007,40.971052,38.365306,42.226881,1.634694,0.674230,22,0
1.961832,40.000000,40.291488,38.499724,38.379957,42.211863,1.620043,0.515862,20,0
